velbody	velleft	velright	Posbody	Posleft	Posright
1.192	0.024	-0.579	1557.750	1726.281	1732.159
1.139	-0.058	-0.595	1555.452	1724.080	1731.122
1.050	-0.156	-0.632	1553.836	1724.329	1730.302
0.931	-0.256	-0.696	1551.755	1722.500	1730.002
0.791	-0.351	-0.779	1548.673	1716.634	1726.769
0.637	-0.440	-0.865	1545.197	1706.913	1719.008
0.470	-0.539	-0.967	1542.025	1693.813	1709.148
0.283	-0.673	-1.123	1539.518	1678.711	1700.153
0.078	-0.866	-1.365	1536.579	1661.256	1694.357
-0.141	-1.132	-1.720	1533.315	1643.286	1692.631
-0.370	-1.456	-2.204	1529.455	1627.394	1692.391
-0.608	-1.799	-2.819	1521.250	1613.158	1689.807
-0.854	-2.139	-3.561	1507.658	1600.447	1684.588
-1.134	-2.475	-4.422	1490.868	1587.808	1677.658
-1.499	-2.808	-5.405	1472.000	1572.423	1668.250
-1.982	-3.149	-6.483	1452.312	1555.710	1654.182
-2.595	-3.519	-7.594	1433.635	1542.411	1631.648
-3.342	-3.954	-8.711	1417.179	1533.971	1602.145
-4.210	-4.504	-9.832	1402.896	1527.572	1571.632
-5.176	-5.219	-10.931	1389.419	1520.354	1541.033
-6.175	-6.101	-11.948	1375.884	1511.500	1509.844
-7.137	-7.077	-12.842	1362.180	1502.668	1479.608
-8.035	-8.087	-13.609	1348.265	1495.844	1450.629
-8.911	-9.210	-14.283	1333.729	1489.583	1423.195
-9.843	-10.602	-14.921	1317.614	1481.475	1396.893
-10.844	-12.260	-15.533	1298.392	1472.007	1369.851
-11.871	-14.040	-16.089	1275.775	1461.997	1342.832
-12.900	-15.864	-16.576	1251.825	1450.771	1318.539
-13.976	-17.754	-17.023	1228.185	1437.946	1299.297
-15.190	-19.764	-17.479	1205.541	1420.722	1285.872
-16.543	-21.837	-17.963	1184.256	1394.039	1274.940
-17.956	-23.823	-18.468	1164.467	1356.500	1263.235
-19.387	-25.651	-18.988	1146.193	1311.416	1250.174
-20.843	-27.333	-19.633	1129.266	1264.293	1235.838
-22.351	-28.882	-20.619	1113.430	1221.158	1220.461
-23.879	-30.299	-21.991	1098.474	1187.144	1203.689
-25.337	-31.573	-23.645	1084.064	1162.377	1185.161
-26.679	-32.710	-25.469	1070.132	1141.653	1164.961
-27.902	-33.735	-27.342	1056.652	1120.376	1144.012
